epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.642,0.87694,1.83472,1.33862,0.56863,0.63794,0.67339,0.5295,0.71773,1.22845,0.93635,0.00332476,0.00332476,0.00332476
2,219.01,0.75932,1.19806,1.2319,0.55896,0.57231,0.56557,0.42238,0.88866,1.45688,1.03551,0.00662514,0.00662514,0.00662514
3,323.363,0.84508,1.28075,1.28562,0.3997,0.49373,0.448,0.32381,0.94842,2.09138,1.13943,0.00989252,0.00989252,0.00989252
4,427.156,0.90525,1.37106,1.32909,0.37457,0.52922,0.46586,0.32617,1.03403,1.86544,1.29174,0.0098515,0.0098515,0.0098515
5,529.536,0.86284,1.31929,1.30906,0.67601,0.64455,0.70697,0.53815,0.78856,1.06711,0.95219,0.009802,0.009802,0.009802
6,632.809,0.83061,1.23028,1.29137,0.66187,0.62437,0.67072,0.53087,0.77144,1.0539,0.93631,0.0097525,0.0097525,0.0097525
7,735.313,0.79861,1.17621,1.27585,0.63612,0.64796,0.68237,0.54151,0.74052,1.08363,0.96048,0.009703,0.009703,0.009703
8,838.426,0.76608,1.0916,1.26422,0.74257,0.68989,0.76751,0.60188,0.79913,0.81952,0.96195,0.0096535,0.0096535,0.0096535
9,942.042,0.74532,1.04965,1.25364,0.66486,0.69465,0.72097,0.57886,0.69306,0.9318,0.90348,0.009604,0.009604,0.009604
10,1044.68,0.74034,1.0069,1.24703,0.7688,0.73505,0.8103,0.66456,0.63394,0.7611,0.86085,0.0095545,0.0095545,0.0095545
11,1147.41,0.72366,0.98465,1.23924,0.73333,0.74473,0.79616,0.62711,0.75425,0.83946,0.9351,0.009505,0.009505,0.009505
12,1250.25,0.71954,0.95837,1.2321,0.79932,0.73186,0.81157,0.66017,0.6966,0.72999,0.87654,0.0094555,0.0094555,0.0094555
13,1352.74,0.69136,0.91091,1.21327,0.74046,0.73149,0.79132,0.63978,0.67987,0.87154,0.91754,0.009406,0.009406,0.009406
14,1455.23,0.6902,0.8954,1.21469,0.81892,0.75484,0.83061,0.68981,0.6292,0.70873,0.88988,0.0093565,0.0093565,0.0093565
15,1558.22,0.67224,0.86258,1.20852,0.76188,0.71932,0.83295,0.69171,0.62665,0.79814,0.85983,0.009307,0.009307,0.009307
16,1660.97,0.66676,0.84756,1.20695,0.80291,0.83619,0.86626,0.73804,0.58977,0.60731,0.8348,0.0092575,0.0092575,0.0092575
17,1764.36,0.66294,0.83204,1.19513,0.80711,0.78636,0.85164,0.71621,0.59097,0.6605,0.82229,0.009208,0.009208,0.009208
18,1866.71,0.654,0.81356,1.19187,0.82484,0.79243,0.86311,0.73164,0.55765,0.57967,0.82406,0.0091585,0.0091585,0.0091585
19,1969.63,0.64596,0.78342,1.19436,0.80999,0.79744,0.87204,0.73028,0.57981,0.59632,0.84097,0.009109,0.009109,0.009109
20,2072.69,0.63636,0.79182,1.19139,0.82793,0.84217,0.88094,0.75046,0.56839,0.56051,0.82405,0.0090595,0.0090595,0.0090595
21,2175.97,0.63964,0.77184,1.19036,0.85247,0.83256,0.89461,0.75698,0.57986,0.5576,0.85593,0.00901,0.00901,0.00901
22,2278.63,0.62587,0.74531,1.18271,0.85123,0.83807,0.89408,0.76331,0.55811,0.53382,0.83198,0.0089605,0.0089605,0.0089605
23,2381.22,0.6276,0.73135,1.18337,0.85757,0.81532,0.89749,0.76495,0.55452,0.53155,0.82317,0.008911,0.008911,0.008911
24,2484.94,0.62693,0.72308,1.18332,0.83332,0.87977,0.90222,0.78083,0.52204,0.47052,0.79365,0.0088615,0.0088615,0.0088615
25,2587.83,0.61109,0.6939,1.17214,0.864,0.87234,0.92488,0.79924,0.54764,0.45495,0.83161,0.008812,0.008812,0.008812
